Year,Base_Coeff,Base_Mean_Income,Base_Abs_Income_Gain,Base_PC_Income_Gain,M1_Coeff,M1_Mean_Income,M1_Abs_Income_Gain,M1_PC_Income_Gain,M2_Coeff,M2_Mean_Income,M2_Abs_Income_Gain,M2_PC_Income_Gain,M3_Coeff,M3_Mean_Income,M3_Abs_Income_Gain,M3_PC_Income_Gain,M4_Coeff,M4_Mean_Income,M4_Abs_Income_Gain,M4_PC_Income_Gain,M5_Coeff,M5_Mean_Income,M5_Abs_Income_Gain,M5_PC_Income_Gain,M6_Coeff,M6_Mean_Income,M6_Abs_Income_Gain,M6_PC_Income_Gain
1960,-0.031348015342284485,933.0425558150271,121.16673472765433,0.12986195964214442,-0.0285200255400175,933.0425558150271,109.61879319664536,0.11748530923210855,-0.010075081146283377,933.0425558150271,37.34121019486486,0.040020907901941016,-0.058780821520963256,861.9942524539649,196.68951769610067,0.22817961620527735,-0.02517382772428167,933.0425558150271,96.11805902354217,0.10301572894451912,-0.0344147960379865,933.0425558150271,133.83436465121872,0.14343865005633355,-0.04781654147544754,861.9942524539649,156.87017062143138,0.18198517005751044
1961,-0.031315023588224494,946.5137777250568,122.77872369489978,0.12971678446139273,-0.02927836461651941,946.5137777250568,114.3301587276328,0.12079080243546483,-0.012516376656654376,946.5137777250568,47.28504659966143,0.04995706107238175,-0.06338566966217543,873.0404875101107,216.61443001283862,0.24811498792068337,-0.03155844983194335,946.5137777250568,123.7930070501618,0.130788383606732,-0.04119232774782846,946.5137777250568,164.71645945858154,0.17402436534466206,-0.05344875566298846,873.0404875101107,179.40409509362564,0.205493442354869
1962,-0.035618655568247844,971.78060007511294,144.61323521354848,0.14881263857538493,-0.03140680712463342,971.78060007511294,126.44878179866646,0.13012071015709997,-0.015293069172781249,971.78060007511294,59.64179812299517,0.0613737278953554,-0.0655948760074273,897.2699271773319,231.31049206908335,0.25779365279381344,-0.038245191245213084,971.78060007511294,156.09248521587392,0.1606252329011393,-0.046725382667495,971.78060007511294,193.9670163938979,0.19959959725364487,-0.054375676270233514,897.2699271773319,187.89448823362807,0.20940687138006972
1963,-0.04113796474751725,1000.5304425429937,173.86798755023904,0.17377580946795407,-0.03632577528676925,1000.5304425429937,152.0615814720553,0.15198096430286387,-0.01751374244044928,1000.5304425429937,70.63098386884656,0.0705935380530028,-0.06656248008124986,906.8495600895667,237.64571759750152,0.2620563851561333,-0.036532842243150496,1000.5304425429937,152.99151313294544,0.15291040294995448,-0.04541032916165925,1000.5304425429937,193.57367606405035,0.19347105078787477,-0.05542728778122459,906.8495600895667,193.94077521242934,0.2138621263633567
1964,-0.04100969311286373,1033.0852406382473,178.9195582903103,0.17318954066149714,-0.0349797592536052,1033.0852406382473,150.7865278437714,0.14595748919093493,-0.01490478205569038,1033.0852406382473,61.747307352902,0.05976980884438352,-0.06665130488128893,933.8282328136886,245.08174582536253,0.26244842168341215,-0.03760727618573827,1033.0852406382473,162.96418657645017,0.15774515031864142,-0.046533061169986935,1033.0852406382473,205.2754424846612,0.19870136016834447,-0.05776443754448994,933.8282328136886,209.01181502498412,0.22382254860213122
1965,-0.04101923223062919,1062.8608389063224,184.12270920260335,0.17323312936439028,-0.033803604530324494,1062.8608389063224,149.56571377444106,0.14071994027773504,-0.013797294803913852,1062.8608389063224,58.6787967864459,0.05520835337844043,-0.06440828621503507,959.0110924790515,242.23262126285113,0.25258583885268504,-0.035253971318612104,1062.8608389063224,156.43402554219688,0.14718203909287558,-0.045438508376776564,1062.8608389063224,205.77203260134252,0.19360204560089045,-0.05948797544161695,959.0110924790515,221.74274997331418,0.2312202139394523
1966,-0.0401450253291419,1085.0408336833013,183.63793873201098,0.16924518693792376,-0.03279378359294246,1085.0408336833013,147.82834792256676,0.1362421978357678,-0.013736167594683033,1085.0408336833013,59.630761203730344,0.05495715861799096,-0.06724595811550958,980.3991906753575,259.8804111620956,0.26507611759968347,-0.03695458136805879,1085.0408336833013,167.97054549155246,0.15480573659274766,-0.04558297327160684,1085.0408336833013,210.7950445729,0.19427383562822323,-0.059062027439124726,980.3991906753575,224.89164881421004,0.2293878360500188
1967,-0.04283432426587685,1099.7856436349323,199.67342706825502,0.18155667717966276,-0.035772688687466095,1099.7856436349323,164.42021632232513,0.14950205730900004,-0.01563652389542523,1099.7856436349323,69.06046585169861,0.06279447840712389,-0.07148118708511556,993.0404046334427,281.9737400693423,0.2839499165931986,-0.03857972484935235,1099.7856436349323,178.31755095796075,0.16213846033541449,-0.04606142079338267,1099.7856436349323,216.1094308617378,0.19650141108177088,-0.06439852768747044,993.0404046334427,250.78550146729867,0.25254309925069984
1968,-0.04231452556743476,1119.6423457066182,200.60295739485832,0.17916699753639242,-0.03514019329275914,1119.6423457066182,164.2221766178011,0.14667378136199263,-0.014087614152801383,1119.6423457066182,63.150293707429455,0.05640220196171183,-0.07341056682689412,1005.008259568103,294.1066971026959,0.2926410746406071,-0.03910664124355081,1119.6423457066182,184.21017927253615,0.1645259130997579,-0.04547220075870353,1119.6423457066182,216.94043190269258,0.1937586879726125,-0.06493815067374327,1005.008259568103,256.18533552724364,0.2549086866582947
1969,-0.041042293085797835,1144.8734932221319,198.45066764863395,0.17333851191725508,-0.03391534189648808,1144.8734932221319,161.67501451911448,0.14121648852581636,-0.01254627748914446,1144.8734932221319,57.33451471712897,0.05007934506000896,-0.07231165901346534,1026.3710234974578,295.27021998640316,0.28768370621010086,-0.03739252249635744,1144.8734932221319,179.49003917255868,0.15677718126515613,-0.044425358752959485,1144.8734932221319,216.2681000595337,0.18890130773389538,-0.06515495198378513,1026.3710234974578,262.607652455343,0.2558603530724028
